superior products	0
14	3377	13207579	0	0	1
15	1291	13208870	0	0	1
16	1049	13209919	0	0	1
17	919	13210838	874891	1	1
xluane constructi	15
1	614	614	0	0	1
2	154	768	0	0	1
3	108	876	0	0	1
4	2649551	2650427	0	0	7843
5	4674388	7324815	22450045	1385156	7035
6	1627308	8952123	0	0	2755
7	562720	9514843	0	0	1450
8	597764	10112607	0	0	539
9	483605	10596212	80436	4052	451
10	627413	11223625	0	0	243
11	212403	11436028	0	0	184
12	75568	11511596	0	0	155
13	49117	11560713	25795	431	154
14	65983	11626696	0	0	152
15	95029	11721725	0	0	152
16	54747	11776472	0	0	152
17	46964	11823436	30640	421	152
litxlexcabin co o	16
1	822	822	0	0	1
2	153	975	0	0	1
3	119	1094	0	0	1
4	4153315	4154409	0	0	2747
5	3389837	7544246	6106028	519391	4580
6	1459777	9004023	0	0	3291
7	821445	9825468	0	0	397
8	118380	9943848	0	0	65
9	72415	10016263	39221	3679	64
10	30004	10046267	0	0	13
11	5932	10052199	0	0	7
12	2238	10054437	0	0	3
13	1463	10055900	6867	4	1
14	571	10056471	0	0	1
15	1930	10058401	0	0	1
16	391	10058792	0	0	1
17	892	10059684	3493	1	1
mary ann jacob md	17
1	614	614	0	0	1
2	165	779	0	0	1
3	108	887	0	0	1
4	4909876	4910763	0	0	4290
5	8803052	13713815	13949474	1807578	16022
6	4566142	18279957	0	0	11000
7	4473477	22753434	0	0	9035
8	4960564	27713998	0	0	1926
9	2196131	29910129	286018	18327	1514
10	1017829	30927958	0	0	226
11	112287	31040245	0	0	229
12	64857	31105102	0	0	100
13	42240	31147342	19949	287	81
14	33563	31180905	0	0	24
15	8878	31189783	0	0	6
16	3726	31193509	0	0	4
17	3570	31197079	5663	2	2
certified used ca	18
1	714	714	0	0	1
2	164	878	0	0	1
3	119	997	0	0	1
4	3602353	3603350	0	0	6943
5	15070064	18673414	29997385	1847214	10478
6	11167750	29841164	0	0	2128
7	4930651	34771815	0	0	1145
8	599326	35371141	0	0	331
9	384702	35755843	58450	2497	74
10	88019	35843862	0	0	59
11	365477	36209339	0	0	23
12	22272	36231611	0	0	16
13	25500	36257111	138807	2138	14
14	65877	36322988	0	0	69
15	277254	36600242	0	0	33
16	12098	36612340	0	0	11
17	5170	36617510	14558	27	5
richard stxnton c	19
1	962	962	0	0	1
2	199	1161	0	0	1
3	154	1315	0	0	1
4	12817260	12818575	0	0	7147
5	6455124	19273699	14728915	1396598	11617
6	3396275	22669974	0	0	5989
7	2815858	25485832	0	0	1696
8	2692656	28178488	0	0	1248
9	2909186	31087674	369475	26033	457
10	553851	31641525	0	0	205
11	116959	31758484	0	0	37
12	318350	32076834	0	0	451
13	98679	32175513	28939	609	181
14	48348	32223861	0	0	57
15	17426	32241287	0	0	29
16	10149	32251436	0	0	12
17	4829	32256265	7542	5	3
nenxna cityxschoo	20
1	781	781	0	0	1
2	154	935	0	0	1
3	108	1043	0	0	1
4	3414395	3415438	0	0	2415
5	13651135	17066573	6356755	597578	4054
6	2957053	20023626	0	0	3437
7	1117578	21141204	0	0	1551
8	707136	21848340	0	0	535
9	673217	22521557	54336	272	79
10	71022	22592579	0	0	33
11	26141	22618720	0	0	29
12	30576	22649296	0	0	1
13	3206	22652502	11748	1	1
14	2985	22655487	0	0	1
15	1522	22657009	0	0	1
16	924	22657933	0	0	1
17	1139	22659072	4051	1	1
axaskx goldxrush 	21
1	752	752	0	0	1
2	148	900	0	0	1
3	120	1020	0	0	1
4	2611135	2612155	0	0	8126
5	5195021	7807176	7214321	597819	4547
6	1892609	9699785	0	0	447
7	279236	9979021	0	0	557
8	121251	10100272	0	0	57
9	14769	10115041	27139	280	26
10	25211	10140252	0	0	13
11	5137	10145389	0	0	6
12	1663	10147052	0	0	1
13	1454	10148506	6888	2	2
14	736	10149242	0	0	1
15	666	10149908	0	0	1
16	926	10150834	0	0	1
17	830	10151664	4292	1	1
team naxx xharter	22
1	1463	1463	0	0	1
2	241	1704	0	0	1
3	268	1972	0	0	1
4	3338369	3340341	0	0	6096
5	4645393	7985734	14095069	1602242	15287
6	5838988	13824722	0	0	5128
7	2455230	16279952	0	0	4169
8	1377614	17657566	0	0	329
9	338745	17996311	34823	503	44
10	58372	18054683	0	0	52
11	11861	18066544	0	0	1
12	774	18067318	0	0	1
13	738	18068056	8261	1	1
14	960	18069016	0	0	1
15	1079	18070095	0	0	1
16	1207	18071302	0	0	1
17	1199	18072501	2640	1	1
ubix broadcasting	23
1	659	659	0	0	1
2	158	817	0	0	1
3	115	932	0	0	1
4	3259501	3260433	0	0	3067
5	1864730	5125163	4846859	535188	9361
6	3099881	8225044	0	0	2416
7	601817	8826861	0	0	1040
8	630021	9456882	0	0	580
9	522103	9978985	52271	902	113
10	195163	10174148	0	0	69
11	82911	10257059	0	0	38
12	18453	10275512	0	0	38
13	16327	10291839	14490	62	37
14	21489	10313328	0	0	37
15	20213	10333541	0	0	28
16	17211	10350752	0	0	28
17	16977	10367729	12040	51	28
sprixg hxll elxme	24
1	859	859	0	0	1
2	196	1055	0	0	1
3	162	1217	0	0	1
4	4182856	4184073	0	0	9068
5	4277193	8461266	7250816	757470	2533
6	1929007	10390273	0	0	1160
7	436832	10827105	0	0	952
8	260761	11087866	0	0	189
9	130379	11218245	44260	3512	16
10	36603	11254848	0	0	40
11	11197	11266045	0	0	23
12	166811	11432856	0	0	15
13	7479	11440335	70746	324	3
14	37871	11478206	0	0	9
15	3458	11481664	0	0	1
16	1172	11482836	0	0	1
17	1032	11483868	44029	10	1
txucano cxnstruxt	25
1	1054	1054	0	0	1
2	258	1312	0	0	1
3	193	1505	0	0	1
4	2996300	2997805	0	0	7080
5	2395238	5393043	7556730	615353	6107
6	1443441	6836484	0	0	2700
7	582776	7419260	0	0	447
8	166484	7585744	0	0	274
9	142649	7728393	31968	355	88
10	76293	7804686	0	0	10
11	7942	7812628	0	0	8
12	5209	7817837	0	0	6
13	4223	7822060	9049	7	6
14	4092	7826152	0	0	6
15	3978	7830130	0	0	6
16	2938	7833068	0	0	1
17	1089	7834157	4518	1	1
north star childr	26
1	718	718	0	0	1
2	149	867	0	0	1
3	122	989	0	0	1
4	3300578	3301567	0	0	7031
5	4040051	7341618	9873931	866678	5567
6	2191008	9532626	0	0	5513
7	1566301	11098927	0	0	2199
8	654153	11753080	0	0	996
9	629035	12382115	205317	39750	492
10	331069	12713184	0	0	408
11	180129	12893313	0	0	238
12	79926	12973239	0	0	113
13	84320	13057559	34272	2084	36
14	35456	13093015	0	0	48
15	68295	13161310	0	0	86
16	37394	13198704	0	0	37
17	13650	13212354	23874	26	14
denali fenceworks	27
1	784	784	0	0	1
2	164	948	0	0	1
3	135	1083	0	0	1
4	4800737	4801820	0	0	8640
5	5385042	10186862	12850083	1595899	8912
6	3664634	13851496	0	0	6836
7	1457983	15309479	0	0	3746
8	1015852	16325331	0	0	817
9	271119	16596450	43076	2715	337
10	101534	16697984	0	0	125
11	61317	16759301	0	0	51
12	21475	16780776	0	0	43
13	10769	16791545	12341	6	5
14	1558	16793103	0	0	1
15	779	16793882	0	0	1
16	426	16794308	0	0	1
17	427	16794735	3516	1	1
alasxa usa federa	28
1	671	671	0	0	1
2	160	831	0	0	1
3	121	952	0	0	1
4	2869356	2870308	0	0	8973
5	6956977	9827285	4613732	766466	3083
6	2403184	12230469	0	0	5199
7	982996	13213465	0	0	2713
8	465964	13679429	0	0	328
9	74875	13754304	31219	1548	96
10	47200	13801504	0	0	100
11	34939	13836443	0	0	27
12	7973	13844416	0	0	3
13	958	13845374	5484	31	2
14	1229	13846603	0	0	1
15	654	13847257	0	0	1
16	424	13847681	0	0	1
17	2812	13850493	4762	18	1
fxontiex firexpro	29
1	744	744	0	0	1
2	149	893	0	0	1
3	119	1012	0	0	1
4	4231620	4232632	0	0	6684
5	2813500	7046132	5454716	971002	4126
6	1363797	8409929	0	0	2149
7	485866	8895795	0	0	655
8	191964	9087759	0	0	80
9	35740	9123499	28283	2212	78
10	86184	9209683	0	0	10
11	11140	9220823	0	0	18
12	6629	9227452	0	0	12
13	3656	9231108	11402	23	6
14	2091	9233199	0	0	1
15	1522	9234721	0	0	1
16	1053	9235774	0	0	1
17	865	9236639	5631	5	1
peninsula center 	30
1	974	974	0	0	1
2	227	1201	0	0	1
3	222	1423	0	0	1
4	4871221	4872644	0	0	8253
5	4740469	9613113	11190075	1362589	10622
6	4354270	13967383	0	0	5584
7	1919017	15886400	0	0	1225
8	812081	16698481	0	0	263
9	211220	16909701	45680	2912	160
10	131724	17041425	0	0	30
11	15158	17056583	0	0	18
12	10990	17067573	0	0	10
13	10567	17078140	23575	1035	19
14	93673	17171813	0	0	100
15	56680	17228493	0	0	81
16	16190	17244683	0	0	39
17	5555	17250238	11395	36	16
fivx star auxomot	31
1	660	660	0	0	1
2	149	809	0	0	1
3	102	911	0	0	1
4	3003917	3004828	0	0	2291
5	1629907	4634735	6923926	533840	8337
6	2008350	6643085	0	0	3362
7	784021	7427106	0	0	1254
8	465038	7892144	0	0	598
9	612131	8504275	77936	4103	253
10	225402	8729677	0	0	130
11	81565	8811242	0	0	33
12	23235	8834477	0	0	22
13	23234	8857711	17441	279	24
14	10772	8868483	0	0	7
15	12173	8880656	0	0	2
16	4146	8884802	0	0	3
17	1967	8886769	10699	23	4
grumpys bullets a	32
1	730	730	0	0	1
2	142	872	0	0	1
3	106	978	0	0	1
4	2976315	2977293	0	0	6025
5	2868253	5845546	5877645	480085	3071
6	1267893	7113439	0	0	781
7	258394	7371833	0	0	509
8	87719	7459552	0	0	482
9	341674	7801226	45895	747	131
10	101475	7902701	0	0	61
11	55159	7957860	0	0	18
12	15760	7973620	0	0	13
13	5498	7979118	24286	8	8
14	4772	7983890	0	0	2
15	644	7984534	0	0	1
16	430	7984964	0	0	1
